rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
316208,Airplane,SACRAMENTO INTL,B-737-300,None,9/16/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Take-off run,Small,No Cloud,Y,0,Yes
317056,Airplane,VALLEY INTL,EMB-145,Other,9/17/2011 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Small,Some Cloud,N,"1,600",No
317075,Airplane,DENVER INTL AIRPORT,A-319,None,9/18/2011 0:00,No damage,FRONTIER AIRLINES,Colorado,Approach,Large,No Cloud,Y,"1,000",No
316552,Airplane,THE EASTERN IOWA ARPT,EMB-135,None,9/19/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Iowa,Landing Roll,Small,Some Cloud,N,0,No
317086,Airplane,DENVER INTL AIRPORT,B-737-800,None,9/19/2011 0:00,No damage,AMERICAN AIRLINES,Colorado,Landing Roll,Small,No Cloud,N,0,Yes
316554,Airplane,AUSTIN-BERGSTROM INTL,B-737-800,None,9/19/2011 0:00,No damage,CONTINENTAL AIRLINES,Texas,Descent,Small,Some Cloud,N,"10,000",Yes
317157,Airplane,MINNEAPOLIS-ST PAUL INTL,A-319,None,9/20/2011 0:00,No damage,DELTA AIR LINES,Minnesota,Take-off run,Small,Some Cloud,Y,0,No
317152,Airplane,NORFOLK INTL,CL-RJ100/200,None,9/20/2011 0:00,No damage,AIR WISCONSIN AIRLINES,Virginia,Climb,Small,Overcast,N,"1,900",No
316938,Airplane,HARRISBURG INTL,EMB-145,None,9/20/2011 0:00,No damage,TRANS STATES AIRLINES,Pennsylvania,Approach,Small,Overcast,Y,25,No
316862,Airplane,LAMBERT-ST LOUIS INTL,EMB-145,None,9/21/2011 0:00,No damage,TRANS STATES AIRLINES,Missouri,Approach,Small,No Cloud,Y,500,No
316101,Airplane,LIHUE ARPT,B-717-200,None,9/21/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Some Cloud,Y,0,No
316949,Airplane,LOGAN INTL,B-737-800,None,9/21/2011 0:00,No damage,CONTINENTAL AIRLINES,Massachusetts,Take-off run,Small,Some Cloud,Y,0,Yes
316120,Airplane,LIHUE ARPT,B-717-200,None,9/22/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Some Cloud,Y,0,No
316121,Airplane,HILO INTL ARPT,B-717-200,None,9/22/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Approach,Small,Some Cloud,N,10,No
316135,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,9/23/2011 0:00,No damage,US AIRWAYS,North Carolina,Take-off run,Small,Some Cloud,N,0,Yes
317133,Airplane,CHICAGO MIDWAY INTL ARPT,B-737-700,None,9/23/2011 0:00,No damage,SOUTHWEST AIRLINES,Illinois,Approach,Small,Some Cloud,Y,150,Yes
317119,Airplane,LOVELL FIELD ARPT,CL-RJ100/200,None,9/23/2011 0:00,No damage,ATLANTIC SOUTHEAST,Tennessee,Approach,Medium,Overcast,Y,"2,200",No
316134,Airplane,WASHINGTON DULLES INTL ARPT,B-737-700,None,9/23/2011 0:00,No damage,SOUTHWEST AIRLINES,DC,Approach,Small,Overcast,N,400,Yes
316133,Airplane,GEORGE BUSH INTERCONTINENTAL,CL-RJ700,Precautionary Landing,9/23/2011 0:00,No damage,SKYWEST AIRLINES,Texas,Take-off run,Small,Some Cloud,Y,0,No
316130,Airplane,MCGHEE TYSON ARPT,EMB-145,None,9/23/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Tennessee,Descent,Small,Overcast,N,"8,000",No
316150,Airplane,JAMES M COX DAYTON INTL,CITATION X,None,9/24/2011 0:00,No damage,XOJET,Ohio,Climb,Small,Overcast,N,10,No
317138,Airplane,CANCUN INTL,B-757-200,None,9/24/2011 0:00,No damage,AMERICAN AIRLINES,N/A,Approach,Small,Some Cloud,N,"1,500",Yes
317137,Airplane,SITKA ROCKY GUTIERREZ ARPT,B-737-400,None,9/24/2011 0:00,No damage,ALASKA AIRLINES,Alaska,Landing Roll,Small,Overcast,N,0,Yes
317144,Airplane,GEORGE BUSH INTERCONTINENTAL,EMB-145,None,9/24/2011 0:00,Damage,EXPRESSJET (CONTINENTAL EXPRS),Texas,Landing Roll,Small,Some Cloud,Y,0,No
317198,Airplane,DALLAS/FORT WORTH INTL ARPT,B-767-300,None,9/25/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,Medium,No Cloud,N,"5,500",Yes
316138,Airplane,METRO OAKLAND INTL,B-737-800,Engine Shut Down,9/25/2011 0:00,Damage,ALASKA AIRLINES,California,Climb,Large,Overcast,Y,20,Yes
317249,Airplane,ALEXANDRIA INTL,DA-2000,None,9/27/2011 0:00,No damage,BUSINESS,Louisiana,Take-off run,Small,Some Cloud,N,0,No
317239,Airplane,COLORADO SPRINGS MUNICIPAL,MD-82,None,9/27/2011 0:00,No damage,AMERICAN AIRLINES,Colorado,Approach,Small,No Cloud,N,15,No
317251,Airplane,EPPLEY AIRFIELD,CL-RJ700,None,9/27/2011 0:00,No damage,SKYWEST AIRLINES,Nebraska,Landing Roll,Small,No Cloud,Y,0,No
317250,Airplane,TRENTON MERCER ARPT,BE-400 BJET,None,9/27/2011 0:00,No damage,BUSINESS,New Jersey,Take-off run,Small,Overcast,N,0,No
317270,Airplane,SITKA ROCKY GUTIERREZ ARPT,ATR-42,Precautionary Landing,9/28/2011 0:00,No damage,EMPIRE AIRLINES,Alaska,Climb,Small,Overcast,N,10,No
317262,Airplane,CHARLESTON AFB/INTL ARPT,EMB-145,None,9/28/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,South Carolina,Approach,Small,Some Cloud,N,"3,000",No
316169,Airplane,AQUASCALIENTES,EMB-135,None,9/30/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,N/A,Take-off run,Small,No Cloud,N,0,No
317400,Airplane,GARY CHICAGO INTL,CL-600,None,9/30/2011 0:00,No damage,BUSINESS,Indiana,Climb,Small,Some Cloud,Y,10,No
316672,Airplane,PORTLAND INTL JETPORT (ME),LEARJET-35,None,9/30/2011 0:00,No damage,BUSINESS,Maine,Take-off run,Small,Some Cloud,Y,0,No
318133,Airplane,MIAMI INTL,ATR-72,None,10/1/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Florida,Approach,Small,No Cloud,N,"4,000",No
318157,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-135,None,10/2/2011 0:00,No damage,CHAUTAUQUA AIRLINES,Kentucky,Climb,Small,No Cloud,Y,50,No
318215,Airplane,PHILADELPHIA INTL,CL-RJ100/200,None,10/3/2011 0:00,No damage,AIR WISCONSIN AIRLINES,Pennsylvania,Take-off run,Small,Some Cloud,Y,0,No
317456,Airplane,TULSA INTL,EMB-145,None,10/3/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Oklahoma,Approach,Small,No Cloud,Y,"1,200",No
318216,Airplane,PHILADELPHIA INTL,CL-RJ100/200,None,10/3/2011 0:00,No damage,AIR WISCONSIN AIRLINES,Pennsylvania,Take-off run,Small,Some Cloud,Y,0,No
318217,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/3/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,No Cloud,Y,0,No
317462,Airplane,PHILADELPHIA INTL,EMB-190,None,10/3/2011 0:00,No damage,US AIRWAYS,Pennsylvania,Take-off run,Small,Some Cloud,Y,0,No
318248,Airplane,WILLIAM B HEILIG FIELD,BE-1900,None,10/4/2011 0:00,No damage,GREAT LAKES AIRLINES,Nebraska,Landing Roll,Small,Some Cloud,Y,0,No
318249,Airplane,HONOLULU INTL ARPT,CL-RJ100/200,None,10/4/2011 0:00,No damage,GOJET AIRLINES,Hawaii,Landing Roll,Small,Overcast,Y,0,No
317910,Airplane,LOGAN INTL,A-319,None,10/4/2011 0:00,No damage,US AIRWAYS,Massachusetts,Take-off run,Small,Overcast,Y,0,No
317464,Airplane,SALT LAKE CITY INTL,A-320,None,10/4/2011 0:00,No damage,DELTA AIR LINES,Utah,Take-off run,Small,Overcast,Y,0,No
317470,Airplane,CHICAGO O'HARE INTL ARPT,B-737-800,None,10/5/2011 0:00,No damage,AMERICAN AIRLINES,Illinois,Landing Roll,Small,No Cloud,Y,0,Yes
317478,Airplane,CAPE COD COAST GUARD AIR STATION,HU-25,Precautionary Landing,10/5/2011 0:00,No damage,GOVERNMENT,Massachusetts,Take-off run,Small,Some Cloud,N,0,No
318020,Airplane,MINETA SAN JOSE INTL,CITATION X,None,10/6/2011 0:00,Damage,XOJET,California,Climb,Small,No Cloud,N,250,No
318307,Airplane,BARNSTABLE MUNICIPAL,C-402,Aborted Take-off,10/7/2011 0:00,No damage,CAPE AIR,Massachusetts,Take-off run,Small,No Cloud,Y,0,No
318024,Airplane,PORTLAND INTL (OR),B-737-900,None,10/7/2011 0:00,No damage,ALASKA AIRLINES,Oregon,Landing Roll,Small,Overcast,Y,0,Yes
318328,Airplane,PHILADELPHIA INTL,CL-RJ100/200,None,10/8/2011 0:00,No damage,AIR WISCONSIN AIRLINES,Pennsylvania,Landing Roll,Medium,No Cloud,Y,0,No
317506,Airplane,BOB HOPE ARPT,B-737-700,None,10/9/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Small,No Cloud,N,50,Yes
317511,Airplane,LIHUE ARPT,B-717-200,None,10/10/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Small,Some Cloud,Y,0,No
317509,Airplane,DALLAS/FORT WORTH INTL ARPT,EMB-145,None,10/10/2011 0:00,Damage,AMERICAN EAGLE AIRLINES,Texas,Climb,Small,Overcast,N,100,No
318346,Airplane,GEORGE BUSH INTERCONTINENTAL,B-737-800,Aborted Take-off,10/10/2011 0:00,Damage,CONTINENTAL AIRLINES,Texas,Take-off run,Small,Some Cloud,Y,0,Yes
317517,Airplane,FORT WORTH SPINKS ARPT,BE-35,Aborted Take-off,10/11/2011 0:00,No damage,PRIVATELY OWNED,Texas,Take-off run,Small,Some Cloud,N,0,No
318389,Airplane,DALLAS/FORT WORTH INTL ARPT,B-737-800,None,10/12/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Y,0,Yes
317656,Airplane,KALAELOA ARPT JOHN RODGERS FIELD,LOCKHEED C-130,None,10/13/2011 0:00,No damage,GOVERNMENT,Hawaii,Taxi,Small,No Cloud,N,0,No
317921,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,B-737-700,None,10/13/2011 0:00,No damage,SOUTHWEST AIRLINES,Alabama,Approach,Small,No Cloud,N,"4,400",Yes
318407,Airplane,DALLAS/FORT WORTH INTL ARPT,B-767-300,Precautionary Landing,10/13/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Take-off run,Small,No Cloud,Y,0,Yes
317520,Airplane,SAN FRANCISCO INTL ARPT,B-737-400,None,10/13/2011 0:00,Damage,ALASKA AIRLINES,California,Approach,Medium,No Cloud,Y,200,Yes
317534,Airplane,HILO INTL ARPT,B-717-200,None,10/14/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Some Cloud,Y,0,No
317553,Airplane,DALLAS/FORT WORTH INTL ARPT,B-737-800,None,10/17/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Y,0,Yes
317560,Airplane,NEW ORLEANS INTL,LEARJET-45,Engine Shut Down,10/17/2011 0:00,Damage,BUSINESS,Louisiana,Climb,Medium,Some Cloud,Y,400,No
317574,Airplane,GREATER ROCKFORD,B-757-200,None,10/19/2011 0:00,No damage,UPS AIRLINES,Illinois,Approach,Small,Overcast,N,"1,800",Yes
317573,Airplane,GREATER PITTSBURGH,EMB-145,None,10/19/2011 0:00,No damage,TRANS STATES AIRLINES,Pennsylvania,Landing Roll,Small,Some Cloud,N,0,No
318542,Airplane,SACRAMENTO INTL,B-737-800,None,10/19/2011 0:00,No damage,CONTINENTAL AIRLINES,California,Approach,Small,No Cloud,Y,5,Yes
320702,Airplane,GREENVILLE DOWNTOWN ARPT,C-560,None,10/19/2011 0:00,No damage,BUSINESS,South Carolina,Climb,Small,Some Cloud,N,20,No
318591,Airplane,PHOENIX SKY HARBOR,A-320,None,10/20/2011 0:00,No damage,US AIRWAYS,Arizona,Approach,Small,No Cloud,N,"2,200",No
317577,Airplane,VAN NUYS ARPT,GULFSTREAM V,None,10/20/2011 0:00,No damage,BUSINESS,California,Landing Roll,Small,Overcast,N,0,No
317587,Airplane,BUFFALO-NIAGARA INTL,EMB-170,None,10/21/2011 0:00,No damage,REPUBLIC AIRLINES,New York,Approach,Medium,Some Cloud,Y,100,No
317584,Airplane,LOVELL FIELD ARPT,MD-83,None,10/21/2011 0:00,No damage,ALLEGIANT AIR,Tennessee,Approach,Small,No Cloud,Y,30,No
317605,Airplane,ABILENE REGIONAL ARPT,EMB-135,None,10/23/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,No Cloud,N,10,No
317609,Airplane,MINNEAPOLIS-ST PAUL INTL,A-320,None,10/23/2011 0:00,No damage,DELTA AIR LINES,Minnesota,Approach,Small,Overcast,Y,100,No
318624,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,EMB-170,Aborted Take-off,10/24/2011 0:00,No damage,REPUBLIC AIRLINES,North Carolina,Take-off run,Medium,No Cloud,Y,0,No
318631,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,B-757-200,None,10/24/2011 0:00,No damage,US AIRWAYS,North Carolina,Landing Roll,Small,Some Cloud,Y,0,Yes
318641,Airplane,SAN FRANCISCO INTL ARPT,B-757-300,None,10/25/2011 0:00,No damage,CONTINENTAL AIRLINES,California,Approach,Small,No Cloud,N,400,Yes
318636,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-83,None,10/25/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Take-off run,Small,No Cloud,Y,0,No
318659,Airplane,LAGUARDIA NY,CL-RJ700,None,10/26/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,New York,Approach,Small,Some Cloud,Y,500,No
318663,Airplane,RICHARD LLOYD JONES JR ARPT,PA-34 SENECA,None,10/26/2011 0:00,No damage,BUSINESS,Oklahoma,Take-off run,Small,Overcast,Y,0,No
318677,Airplane,DENVER INTL AIRPORT,B-737-700,None,10/27/2011 0:00,No damage,SOUTHWEST AIRLINES,Colorado,Approach,Small,No Cloud,Y,50,Yes
317890,Airplane,MINNEAPOLIS-ST PAUL INTL,EMB-170,None,10/29/2011 0:00,No damage,SHUTTLE AMERICA,Minnesota,Landing Roll,Small,Some Cloud,Y,0,No
318711,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,B-737-800,None,10/29/2011 0:00,No damage,BWIA WEST INDIES AIRWAYS,Florida,Take-off run,Small,Overcast,Y,0,Yes
317642,Airplane,GREATER PITTSBURGH,A-319,None,10/29/2011 0:00,Damage,US AIRWAYS,Pennsylvania,Climb,Medium,Overcast,N,500,No
317647,Airplane,RIO VISTA MUNICIPAL ARPT,C-172,Precautionary Landing,10/30/2011 0:00,Damage,PRIVATELY OWNED,California,Climb,Large,No Cloud,N,"3,800",No
318725,Airplane,HONOLULU INTL ARPT,B-717-200,None,10/31/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Small,Some Cloud,Y,0,No
319143,Airplane,KANSAS CITY INTL,B-737-300,None,11/1/2011 0:00,No damage,SOUTHWEST AIRLINES,Missouri,Climb,Medium,Overcast,Y,600,Yes
318744,Airplane,PORTLAND INTL JETPORT (ME),EMB-145,Precautionary Landing,11/1/2011 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Maine,Take-off run,Small,No Cloud,Y,0,No
318751,Airplane,MC CLELLAN AIRFIELD,LOCKHEED C-130,Engine Shut Down,11/2/2011 0:00,No damage,GOVERNMENT,California,Take-off run,Small,No Cloud,N,0,No
318752,Airplane,SAN FRANCISCO INTL ARPT,B-737-300,None,11/2/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Small,No Cloud,N,50,Yes
319173,Airplane,LOGAN INTL,B-757-200,None,11/3/2011 0:00,No damage,AMERICAN AIRLINES,Massachusetts,Climb,Small,No Cloud,Y,100,Yes
319171,Airplane,SACRAMENTO INTL,B-737-800,None,11/3/2011 0:00,No damage,ALASKA AIRLINES,California,Landing Roll,Small,No Cloud,Y,0,Yes
318762,Airplane,PHILADELPHIA INTL,MD-11,None,11/4/2011 0:00,No damage,UPS AIRLINES,Pennsylvania,Approach,Small,No Cloud,N,"3,000",No
319180,Airplane,LOGAN INTL,CL-RJ100/200,None,11/4/2011 0:00,No damage,AIR CANADA JAZZ,Massachusetts,Take-off run,Small,No Cloud,Y,0,No
319193,Airplane,LAGUARDIA NY,B-717-200,None,11/4/2011 0:00,Damage,AIRTRAN AIRWAYS,New York,Approach,Small,Some Cloud,Y,400,No
319222,Airplane,ATLANTA INTL,MD-88,None,11/5/2011 0:00,No damage,DELTA AIR LINES,Georgia,Approach,Small,No Cloud,Y,"1,800",No
319216,Airplane,BLUE GRASS ARPT,PILATUS PC12,None,11/5/2011 0:00,No damage,BUSINESS,Kentucky,Approach,Small,No Cloud,N,200,No
319229,Airplane,PHILADELPHIA INTL,B-737-700,None,11/5/2011 0:00,No damage,SOUTHWEST AIRLINES,Pennsylvania,Climb,Small,Some Cloud,N,700,Yes
319235,Airplane,MANCHESTER AIRPORT,EMB-145,None,11/6/2011 0:00,No damage,CHAUTAUQUA AIRLINES,New Hampshire,Take-off run,Small,No Cloud,N,0,No
318784,Airplane,AUSTIN-BERGSTROM INTL,CL-RJ900,None,11/8/2011 0:00,No damage,MESA AIRLINES,Texas,Approach,Small,Overcast,N,10,No
318783,Airplane,ELIZABETHTON MUNICIPAL ARPT,C-500,None,11/8/2011 0:00,Damage,BUSINESS,Tennessee,Landing Roll,Large,No Cloud,N,0,No
318868,Airplane,WILL ROGERS WORLD ARPT,B-737-700,None,11/10/2011 0:00,No damage,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Some Cloud,N,0,Yes
319181,Airplane,CAPE COD COAST GUARD AIR STATION,DA-20 FALCON,None,11/10/2011 0:00,No damage,GOVERNMENT,Massachusetts,Take-off run,Small,Some Cloud,N,0,No
319299,Airplane,MANCHESTER AIRPORT,B-737-300,None,11/10/2011 0:00,No damage,SOUTHWEST AIRLINES,New Hampshire,Approach,Small,Overcast,N,5,Yes
320200,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,CL-RJ100/200,Aborted Take-off,11/11/2011 0:00,No damage,PSA AIRLINES,North Carolina,Take-off run,Small,No Cloud,Y,0,No
319183,Airplane,BURLINGTON INTL,CL-RJ700,None,11/11/2011 0:00,No damage,COMAIR AIRLINES,Vermont,Landing Roll,Small,No Cloud,Y,0,No
319185,Airplane,DETROIT METRO WAYNE COUNTY ARPT,A-320,None,11/11/2011 0:00,No damage,DELTA AIR LINES,Michigan,Landing Roll,Small,Some Cloud,Y,0,No
319184,Airplane,MIAMI INTL,B-737-800,None,11/11/2011 0:00,No damage,CONTINENTAL AIRLINES,Florida,Landing Roll,Small,No Cloud,Y,0,Yes
319311,Airplane,CHICAGO MIDWAY INTL ARPT,B-737-700,None,11/12/2011 0:00,No damage,SOUTHWEST AIRLINES,Illinois,Approach,Medium,No Cloud,N,100,Yes
318838,Airplane,CHICAGO O'HARE INTL ARPT,EMB-145,None,11/12/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Illinois,Take-off run,Small,No Cloud,Y,0,No
318841,Airplane,NEWARK LIBERTY INTL ARPT,A-320,None,11/13/2011 0:00,No damage,US AIRWAYS,New Jersey,Climb,Small,Some Cloud,Y,425,No
319334,Airplane,FORT WORTH SPINKS ARPT,C-172,Precautionary Landing,11/15/2011 0:00,No damage,BUSINESS,Texas,Climb,Small,Overcast,N,25,No
318849,Airplane,AUSTIN-BERGSTROM INTL,B-737-700,None,11/16/2011 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,Medium,No Cloud,N,"1,500",Yes
319374,Airplane,GEORGE BUSH INTERCONTINENTAL,B-737-300,None,11/17/2011 0:00,No damage,US AIRWAYS,Texas,Approach,Medium,No Cloud,Y,"4,000",Yes
319360,Airplane,PORTLAND-HILLSBORO ARPT,PILATUS PC12,None,11/17/2011 0:00,No damage,BUSINESS,Oregon,Landing Roll,Medium,Overcast,Y,0,No
319355,Airplane,MALCOLM MCKINNON ARPT,PILATUS PC12,None,11/17/2011 0:00,No damage,BUSINESS,Georgia,Climb,Small,No Cloud,N,19,No
318854,Airplane,BALTIMORE WASH INTL,B-737-700,None,11/17/2011 0:00,Damage,SOUTHWEST AIRLINES,Maryland,Approach,Large,No Cloud,Y,"1,900",Yes
318858,Airplane,MORRISTOWN MUNICIPAL ARPT,C-172,None,11/18/2011 0:00,No damage,BUSINESS,New Jersey,Approach,Small,No Cloud,Y,100,No
318890,Airplane,PRYOR FIELD REGIONAL ARPT,BE-36,None,11/19/2011 0:00,No damage,BUSINESS,Alabama,Approach,Small,Some Cloud,N,100,No
319407,Airplane,DANIEL ODUBER QUIROS INTL,B-737-800,None,11/20/2011 0:00,No damage,AMERICAN AIRLINES,N/A,Take-off run,Small,Some Cloud,N,0,Yes
319416,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,A-321,None,11/21/2011 0:00,No damage,US AIRWAYS,North Carolina,Landing Roll,Small,Some Cloud,Y,0,No
319415,Airplane,SOUTHWEST FLORIDA INTL ARPT,A-320,None,11/21/2011 0:00,No damage,JETBLUE AIRWAYS,Florida,Approach,Small,Overcast,Y,50,No
319424,Airplane,METRO OAKLAND INTL,B-737-700,None,11/22/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Medium,No Cloud,N,800,Yes
319431,Airplane,CHARLES B WHEELER DOWNTOWN ARPT,C-560,None,11/23/2011 0:00,No damage,BUSINESS,Missouri,Landing Roll,Medium,Overcast,Y,0,No
321172,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,DHC8 DASH 8,Aborted Take-off,11/23/2011 0:00,No damage,PIEDMONT AIRLINES,North Carolina,Take-off run,Small,Some Cloud,Y,0,No
318879,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,A-320,Aborted Take-off,11/23/2011 0:00,No damage,DELTA AIR LINES,North Carolina,Take-off run,Small,Some Cloud,Y,0,No
319446,Airplane,LAGUARDIA NY,A-320,None,11/24/2011 0:00,No damage,JETBLUE AIRWAYS,New York,Approach,Medium,No Cloud,Y,"1,000",No
318885,Airplane,ATLANTA INTL,C-208,None,11/25/2011 0:00,No damage,PACIFIC WINGS,Georgia,Approach,Small,No Cloud,N,100,No
319452,Airplane,SACRAMENTO INTL,HAWKER 800,None,11/26/2011 0:00,No damage,BUSINESS,California,Approach,Medium,Overcast,N,900,No
318903,Airplane,SAN FRANCISCO INTL ARPT,EMB-120,None,11/28/2011 0:00,No damage,SKYWEST AIRLINES,California,Approach,Small,No Cloud,N,200,No
319488,Airplane,OAKLAND COUNTY INTL,C-680,None,11/30/2011 0:00,No damage,BUSINESS,Michigan,Approach,Small,Some Cloud,N,10,No
319481,Airplane,CHICAGO O'HARE INTL ARPT,MD-82,None,11/30/2011 0:00,No damage,AMERICAN AIRLINES,Illinois,Climb,Small,Some Cloud,Y,500,No
318900,Airplane,SAN FRANCISCO INTL ARPT,CHALLENGER 300,None,11/30/2011 0:00,No damage,BUSINESS,California,Climb,Small,No Cloud,Y,10,No
318899,Airplane,SACRAMENTO INTL,B-737-700,None,11/30/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Small,Overcast,Y,10,Yes
319530,Airplane,JOHN F KENNEDY INTL,A-320,None,12/1/2011 0:00,No damage,JETBLUE AIRWAYS,New York,Landing Roll,Small,No Cloud,Y,0,No
319528,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,12/1/2011 0:00,Damage,US AIRWAYS,North Carolina,Climb,Small,No Cloud,Y,200,Yes
319532,Airplane,MEMPHIS INTL,DC-10-10,None,12/2/2011 0:00,Damage,FEDEX EXPRESS,Tennessee,Approach,Medium,No Cloud,Y,150,Yes
319902,Airplane,PHILADELPHIA INTL,A-319,None,12/3/2011 0:00,No damage,US AIRWAYS,Pennsylvania,Approach,Small,No Cloud,N,"1,000",No
319898,Airplane,LOGAN INTL,EMB-190,None,12/3/2011 0:00,No damage,JETBLUE AIRWAYS,Massachusetts,Landing Roll,Small,No Cloud,Y,0,No
319908,Airplane,ORLANDO SANFORD INTL AIRPORT,CITATIONJET,None,12/4/2011 0:00,No damage,BUSINESS,Florida,Landing Roll,Small,Some Cloud,Y,0,No
319539,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-82,None,12/6/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,Small,Overcast,N,10,No
319927,Airplane,ELLINGTON FIELD ARPT,T-38A,None,12/7/2011 0:00,No damage,GOVERNMENT,Texas,Approach,Small,No Cloud,N,15,No
319550,Airplane,ALBANY INTL,B-737-700,None,12/8/2011 0:00,No damage,SOUTHWEST AIRLINES,New York,Approach,Medium,Overcast,Y,100,Yes
319554,Airplane,BURLINGTON INTL,EMB-190,None,12/10/2011 0:00,No damage,JETBLUE AIRWAYS,Vermont,Approach,Small,No Cloud,N,10,No
319958,Airplane,JOHN WAYNE AIRPORT,A-320,None,12/13/2011 0:00,No damage,UNITED AIRLINES,California,Approach,Small,No Cloud,Y,50,No
319960,Airplane,PHOENIX-MESA GATEWAY,EMB-135,None,12/14/2011 0:00,No damage,ADI SHUTTLE GROUP,Arizona,Take-off run,Small,Overcast,N,0,No
319661,Airplane,JOHN F KENNEDY INTL,B-777-300,None,12/17/2011 0:00,No damage,CATHAY PACIFIC,New York,Take-off run,Small,Some Cloud,Y,0,No
319797,Airplane,ASHEVILLE REGIONAL ARPT,CL-RJ100/200,None,12/18/2011 0:00,No damage,ATLANTIC SOUTHEAST,North Carolina,Approach,Small,No Cloud,N,500,No
319795,Airplane,DALLAS/FORT WORTH INTL ARPT,B-737-800,None,12/18/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,Overcast,N,0,Yes
319606,Airplane,COLORADO SPRINGS MUNICIPAL,CL-RJ700,None,12/20/2011 0:00,No damage,SKYWEST AIRLINES,Colorado,Take-off run,Small,No Cloud,N,0,No
319618,Airplane,LOS ANGELES INTL,A-300,None,12/22/2011 0:00,No damage,FEDEX EXPRESS,California,Climb,Small,Some Cloud,N,300,No
319563,Airplane,ROCHESTER INTL,CL-RJ100/200,None,12/23/2011 0:00,No damage,PINNACLE,Minnesota,Take-off run,Small,Overcast,N,0,No
319623,Airplane,ADAMS FIELD ARPT,B-737-700,None,12/23/2011 0:00,No damage,SOUTHWEST AIRLINES,Arkansas,Take-off run,Small,Some Cloud,N,0,Yes
319627,Airplane,MINNEAPOLIS-ST PAUL INTL,B-757-200,None,12/24/2011 0:00,No damage,DELTA AIR LINES,Minnesota,Climb,Small,No Cloud,Y,50,Yes
319682,Airplane,SAN DIEGO INTL,B-737-300,None,12/27/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Take-off run,Small,No Cloud,N,0,Yes
319643,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,B-737-800,None,12/27/2011 0:00,No damage,CONTINENTAL AIRLINES,Florida,Approach,Small,Some Cloud,Y,100,Yes
319573,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,A-321,None,12/27/2011 0:00,No damage,US AIRWAYS,North Carolina,Landing Roll,Small,Some Cloud,Y,0,No
